Name,PlayerId,Team,W,L,QS,ERA,G,GS,SV,HLD,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD
Nick Martinez,12730,CIN,3.0147,3.7226,2.3571,4.43317,30.48,6.48,0,1.9663,59.252,254.913,60.8067,31.4332,29.186,8.63762,18.9987,,2.3134,50.5604,7.6798,2.88578,2.66126,1.312,0.198344,0.0745301,0.123813607,0.260302,1.34688,0.29913,0.714374,,,4.43676,0.454897,0.498582,433.0700073,,,
Michael Lorenzen,14843,TEX,3.7215,4.7096,4.8282,4.6633,15.9644,11.52,0,0.2699,70.8528,311.219,73.1508,39.4722,36.712,10.1162,28.4982,,2.7801,57.5954,7.31599,3.61995,2.02102,1.285,0.185064,0.0915696,0.093494296,0.261308,1.43465,0.297012,0.710703,,,4.72391,0.454293,0.478414,502.6499939,,,
Tyler Mahle,16358,TEX,2.3397,2.4054,2.5087,4.08057,14.2044,5.76,0,0.2699,40.3803,171.009,38.03,19.6272,18.3083,5.84168,12.5218,,1.6478,40.4636,9.01857,2.79087,3.23145,1.302,0.236617,0.073223,0.163393743,0.242477,1.25189,0.291207,0.729811,,,4.09846,0.446967,0.376726,670.4199829,,,
Ben Lively,14932,CLE,3.6991,4.5401,5.329,4.48775,11.84,11.84,0,0,68.7194,295.567,70.7713,36.8017,34.2662,10.7813,19.4678,,2.9728,56.9431,7.45769,2.54965,2.92499,1.412,0.192657,0.0658659,0.126791224,0.259116,1.31315,0.292061,0.711121,,,4.53117,0.438248,0.385608,749.6799927,,,
Matt Strahm,13799,PHI,1.7094,1.3475,0,3.15906,31.1111,0,0.463,5.2083,31.1111,125.956,24.9328,11.7451,10.9202,3.69185,8.4296,,1.4812,37.4423,10.8315,2.43856,4.44176,1.068,0.297265,0.066925,0.230339952,0.214854,1.07236,0.283549,0.766739,,,3.26056,0.423969,0.460432,496.2799988,,,
Tobias Myers,22191,MIL,3.4716,4.2012,4.3154,4.43932,15.0327,10.65,0,0.262,63.2905,272.314,62.5751,33.4258,31.2185,10.0069,21.4242,,2.4162,55.4894,7.89067,3.04655,2.59003,1.423,0.20377,0.0786746,0.125095285,0.251838,1.3272,0.287293,0.722586,,,4.60122,0.41884,0.573415,999,,,
Josh Hader,14212,HOU,1.6088,1.141,0,3.00522,28,0,13.9,0.8656,28,114.053,19.2545,10.0682,9.34957,3.25111,11.0376,,1.1825,40.5078,13.0204,3.5478,3.66998,1.045,0.355166,0.0967761,0.258390412,0.189079,1.08186,0.275569,0.785683,,,3.09454,0.417371,0.453916,46.09999847,,,
Jhoan Duran,21029,MIN,1.5669,1.1837,0,2.87938,28,0,11.621,1.412,28,115.274,22.6373,9.977,8.95807,1.94756,10.0741,,1.3463,34.0272,10.9373,3.2381,3.37769,0.626,0.295185,0.0873926,0.207792714,0.217973,1.16826,0.304804,0.758197,,,2.86653,0.41708,0.437377,67.41000366,,,
Martín Pérez,6902,PIT,3.6347,4.881,5.1407,4.5509,12.41,12.41,0,0,69.8215,308.127,75.8295,38.2308,35.3056,8.7432,25.1287,,2.8126,49.1465,6.33499,3.23909,1.95579,1.127,0.159501,0.0815531,0.077947721,0.27064,1.44595,0.301788,0.707045,,,4.58987,0.41463,0.603028,576.7800293,,,
Alec Marsh,27451,KCR,3.2669,4.2741,3.9991,4.7488,11.2,11.2,0,0,60.5752,266.031,61.3097,34.1367,31.9622,8.65552,24.9023,,3.1333,54.4581,8.09115,3.69988,2.18687,1.286,0.204706,0.0936068,0.111099079,0.257609,1.42322,0.301084,0.702825,,,4.6172,0.412902,0.510592,670.1400146,,,
Drew Thorpe,31967,CHW,1.9446,2.8637,2.9557,4.47871,7,7,0,0,39.3862,169.768,39.034,21.1113,19.5999,5.85541,15.0791,,1.1882,31.6064,7.22227,3.44567,2.09604,1.338,0.186174,0.0888218,0.097352266,0.254292,1.37391,0.285926,0.71875,,,4.73599,0.409522,0.339149,999,,,
Edwin Díaz,14710,NYM,1.5086,1.139,0,2.95999,26.9506,0,14.57,0.8269,26.9506,109.734,19.632,9.6428,8.86373,2.61421,9.5183,,1.3777,36.6111,12.2261,3.17858,3.84639,0.873,0.333635,0.0867397,0.246895224,0.198628,1.08162,0.285473,0.765288,,,2.92619,0.408822,0.364297,42.86000061,,,
Simeon Woods Richardson,24494,MIN,3.4963,4.3375,4.0859,4.58895,16.1333,10.8,0,0.2775,64.4403,280.426,65.5466,35.2366,32.857,8.97152,24.1734,,2.3115,53.2233,7.43339,3.37616,2.20173,1.253,0.189794,0.0862024,0.103592038,0.258117,1.3923,0.295052,0.706111,,,4.56023,0.406767,0.303716,744.1099854,,,
David Festa,30056,MIN,1.6877,1.7076,2.0284,3.94949,8.7644,4.32,0,0.2775,28.7935,122.511,27.0801,13.7044,12.6355,3.29846,10.2747,,1.1836,27.7969,8.68849,3.21157,2.70537,1.031,0.226893,0.0838676,0.143025525,0.243849,1.29733,0.297429,0.722437,,,3.9215,0.406602,0.295961,999,,,
Robbie Ray,11486,SFG,2.0092,2.2082,2.7864,3.91257,9.0568,5.6,0,0.2773,35.6934,150.014,32.4293,16.6653,15.517,4.96931,11.3365,,1.2625,37.0977,9.35409,2.85847,3.27241,1.253,0.247295,0.0755696,0.171725281,0.235995,1.22616,0.287997,0.736251,,,3.95935,0.406525,0.479236,544.039978,,,
Emmanuel Clase,21032,CLE,1.6548,1.3076,0,2.97342,30.1481,0,16.022,0.7592,30.1481,122.603,26.9825,11.097,9.96034,2.375,7.1318,,1.027,31.0729,9.27608,2.12903,4.35695,0.709,0.253443,0.0581699,0.195273373,0.23577,1.13156,0.30381,0.747575,,,2.94384,0.400652,0.411193,52.90999985,,,
