,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_poly__degree,param_poly__interaction_only,param_ridge__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
10,0.0,0.0,0.0010013580322265625,0.002002716064453125,1,False,0.001,"{'poly__degree': 1, 'poly__interaction_only': False, 'ridge__alpha': 0.001}",-1191.5252546599863,-728.0585042108263,-576.4641412404825,-564.7279773602174,-259.2130406186823,-663.9977836180391,304.55092505989285,25
11,0.0010010242462158204,0.002002048492431641,0.0,0.0,1,False,0.01,"{'poly__degree': 1, 'poly__interaction_only': False, 'ridge__alpha': 0.01}",-1170.8785432947543,-727.5621292091951,-575.0420237060946,-564.6220442802938,-258.9141101446606,-659.4037701269997,297.5716562665935,22
12,0.0010244369506835938,0.001991209708807895,0.0,0.0,1,False,0.1,"{'poly__degree': 1, 'poly__interaction_only': False, 'ridge__alpha': 0.1}",-1006.8129660552731,-722.8361819693729,-561.826758967563,-563.4507427575289,-256.0557313390059,-622.1964762177488,244.62739161824018,17
13,0.0006023406982421875,0.0008025656621310997,0.0003987789154052734,0.0007337524204690137,1,False,0.25,"{'poly__degree': 1, 'poly__interaction_only': False, 'ridge__alpha': 0.25}",-839.2447400855217,-715.8044698099264,-543.2438841235205,-561.114923219266,-251.76942393966934,-582.2354882355809,197.51894667820795,13
14,0.002323770523071289,0.0028908905183173475,0.0,0.0,1,False,1.0,"{'poly__degree': 1, 'poly__interaction_only': False, 'ridge__alpha': 1.0}",-564.1138317078664,-690.9977926923777,-487.4475436457175,-545.599045666797,-236.58383358965168,-504.94840946048197,149.72856794964366,11
15,0.0016291618347167968,0.0018490486424343634,0.0002570629119873047,0.0005141258239746093,1,False,2.5,"{'poly__degree': 1, 'poly__interaction_only': False, 'ridge__alpha': 2.5}",-457.582131010853,-665.1430635896324,-442.262677548155,-511.8738214320729,-221.59539666210782,-459.6914180485642,142.78046600688057,9
16,0.0006011486053466797,0.0012022972106933594,0.001121854782104492,0.0019999289737727996,1,False,5,"{'poly__degree': 1, 'poly__interaction_only': False, 'ridge__alpha': 5}",-421.0102720372338,-645.2573962438876,-411.45565531795046,-467.5556344588327,-212.42942332921604,-431.5416762774241,138.19982073068712,7
17,0.0,0.0,0.0,0.0,1,False,10.0,"{'poly__degree': 1, 'poly__interaction_only': False, 'ridge__alpha': 10.0}",-416.75072318742843,-630.068579262731,-385.9770809298476,-416.5690322303118,-211.0362154811539,-412.08032621829443,133.16227200791772,3
18,0.0007010459899902344,0.0014020919799804688,0.0,0.0,1,False,20,"{'poly__degree': 1, 'poly__interaction_only': False, 'ridge__alpha': 20}",-446.72193074504895,-626.0858609021996,-378.5384113294368,-382.4436512531487,-224.44227033604287,-411.64642491317534,129.7758844011408,1
19,0.0,0.0,0.0,0.0,1,False,25,"{'poly__degree': 1, 'poly__interaction_only': False, 'ridge__alpha': 25}",-464.95812443432334,-628.7913871454138,-384.8662753959458,-380.44869257198076,-233.14143829741795,-418.44118356901635,129.0873606212533,5
20,0.0029612064361572267,0.0038205850058670027,0.0010047435760498046,0.0020094871520996093,2,True,0.001,"{'poly__degree': 2, 'poly__interaction_only': True, 'ridge__alpha': 0.001}",-901.9196906030205,-937.5693982068002,-881.2663910085536,-692.2914581423412,-763.2810823595354,-835.2656040640501,92.35614079738305,47
21,0.0,0.0,0.00044684410095214845,0.0008936882019042968,2,True,0.01,"{'poly__degree': 2, 'poly__interaction_only': True, 'ridge__alpha': 0.01}",-900.0355709047084,-935.6243396557991,-878.1996047310633,-689.9183460474082,-761.5620006704792,-833.0679724018916,92.35177471920083,45
22,0.0013303756713867188,0.001976277986525935,0.0016152381896972657,0.0027270328558745803,2,True,0.1,"{'poly__degree': 2, 'poly__interaction_only': True, 'ridge__alpha': 0.1}",-885.0991343873168,-917.1535699230344,-849.5759651242404,-668.1639037845501,-745.4048135779924,-813.0794773594268,92.66134570896986,40
23,0.0010239124298095704,0.002047824859619141,0.0005173683166503906,0.0010347366333007812,2,True,0.25,"{'poly__degree': 2, 'poly__interaction_only': True, 'ridge__alpha': 0.25}",-871.1076257728131,-889.886144550642,-809.0615059182037,-638.2685273114206,-722.0874282496419,-786.0822463605443,94.31526183779533,38
24,0.0007607936859130859,0.0009050293139267198,0.0,0.0,2,True,1.0,"{'poly__degree': 2, 'poly__interaction_only': True, 'ridge__alpha': 1.0}",-862.906500664388,-797.4840687972041,-690.3648199784981,-549.1587820545059,-647.2896888970822,-709.4407720783357,110.65289635856085,32
25,0.0,0.0,0.0010187625885009766,0.002037525177001953,2,True,2.5,"{'poly__degree': 2, 'poly__interaction_only': True, 'ridge__alpha': 2.5}",-862.9570575326601,-713.4721001345183,-619.1292906868355,-474.55312067685543,-583.3962743780712,-650.7015686817882,130.80337861066724,21
26,0.0006230831146240235,0.001246166229248047,0.0,0.0,2,True,5,"{'poly__degree': 2, 'poly__interaction_only': True, 'ridge__alpha': 5}",-840.3083617543919,-665.6204020560244,-611.6943720559901,-434.5676830895037,-545.4410966480696,-619.5263831207959,134.63211463636566,16
27,0.0015349864959716796,0.0017123426270445855,0.001439380645751953,0.0023292331383407447,2,True,10.0,"{'poly__degree': 2, 'poly__interaction_only': True, 'ridge__alpha': 10.0}",-801.5629379290762,-648.3638211331707,-645.5168338421164,-431.6141398760826,-521.5798778991149,-609.7275221359121,125.75281254085625,15
28,0.0011019706726074219,0.0019610129735078466,0.0006273746490478516,0.0012547492980957034,2,True,20,"{'poly__degree': 2, 'poly__interaction_only': True, 'ridge__alpha': 20}",-778.3005025015949,-662.9714216563862,-707.1758195210391,-478.27606053740044,-508.2891338053801,-627.0025876043602,115.6071166992416,19
29,0.0010005474090576173,0.0020010948181152345,0.0,0.0,2,True,25,"{'poly__degree': 2, 'poly__interaction_only': True, 'ridge__alpha': 25}",-780.4606797529456,-673.5350544078051,-732.824083934578,-504.72741723926055,-506.0615012534793,-639.5217473176137,114.63608721007478,20
30,0.0015890121459960938,0.0019870988738664775,0.0010208606719970704,0.0020417213439941407,2,False,0.001,"{'poly__degree': 2, 'poly__interaction_only': False, 'ridge__alpha': 0.001}",-946.2210818727921,-892.2993094949965,-1014.9737420365188,-752.8708624746085,-1192.280528414463,-959.7291048586758,144.67322555658671,64
31,0.0009939193725585938,0.0012451887694520287,4.410743713378906e-05,8.821487426757812e-05,2,False,0.01,"{'poly__degree': 2, 'poly__interaction_only': False, 'ridge__alpha': 0.01}",-946.112175986021,-890.1449173003226,-1012.8480714213898,-750.3291716573231,-1190.1250167472124,-957.9118706224538,144.7501993484669,63
32,0.0017499446868896485,0.002188315393987455,0.00021748542785644532,0.00043497085571289065,2,False,0.1,"{'poly__degree': 2, 'poly__interaction_only': False, 'ridge__alpha': 0.1}",-945.3121259402966,-869.5990562478104,-992.5738134258136,-726.7587685648463,-1169.319265097809,-940.7126058553152,145.4682965561855,62
33,4.6634674072265624e-05,9.326934814453125e-05,0.0010182380676269532,0.002036476135253906,2,False,0.25,"{'poly__degree': 2, 'poly__interaction_only': False, 'ridge__alpha': 0.25}",-944.6554965697078,-838.9919595636609,-962.3758015583132,-693.7452968194336,-1137.4268339829005,-915.4390776988032,146.5111009242031,55
34,0.0017923355102539063,0.002231823992279996,0.0,0.0,2,False,1.0,"{'poly__degree': 2, 'poly__interaction_only': False, 'ridge__alpha': 1.0}",-940.773167380213,-733.3536421649754,-858.6859656426425,-595.7535018914546,-1016.6890694116527,-829.0510692981876,149.76903944780616,43
35,0.0007430076599121094,0.0014196210580288222,0.0009160518646240234,0.0018321037292480468,2,False,2.5,"{'poly__degree': 2, 'poly__interaction_only': False, 'ridge__alpha': 2.5}",-919.2659360032752,-637.3543478066558,-767.3038040200746,-523.2828014274265,-881.2774384214549,-745.6968655357774,148.44614566818672,35
