Season,Name,Team,Spd,GB/FB,LD%,GB%,FB%,IFFB%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,EV,LA,Barrel%,maxEV,HardHit%,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Zone%,F-Strike%,SwStr%,CStr%,CSW%,wOBA,K%,BB%,NameASCII,PlayerId,MLBAMID
2015,Alejandro De Aza,- - -,6.453837792,1.034482758,0.233766233,0.389610389,0.376623376,0.022988505,0.3714,0.3918,0.2367,0.1388,0.5918,0.2694,86.78559123,14.65359404,0.0286,105.439,0.2327,0.2995,0.6976,0.4735,0.5837,0.8962,0.7849,0.437,0.5699,0.1012,0.1688,0.27,0.325998782,0.230136986,0.084931506,Alejandro De Aza,3371,457477
2015,Nick Hundley,COL,4.632927342,1.252525252,0.225694444,0.430555555,0.34375,0.121212121,0.3368,0.3643,0.299,0.1718,0.5498,0.2784,89.09781307,11.4517154,0.0309,108.62,0.3505,0.2576,0.759,0.5076,0.5668,0.8704,0.7932,0.4986,0.6401,0.105,0.1436,0.2486,0.347887484,0.19537275,0.053984575,Nick Hundley,3376,460026
2015,Ryan Braun,MIL,6.32085896,1.598360655,0.193384223,0.496183206,0.310432569,0.032786885,0.3071,0.3832,0.3096,0.1421,0.4949,0.3629,92.2348758,7.618461413,0.0962,114.913,0.4608,0.3644,0.7105,0.5056,0.6703,0.8799,0.7905,0.4082,0.6426,0.1051,0.1434,0.2485,0.365794064,0.202464788,0.095070422,Ryan Braun,3410,460075
2015,Anthony Rizzo,CHC,4.855877393,0.79245283,0.218106995,0.345679012,0.436213991,0.103773584,0.4324,0.3484,0.2193,0.1783,0.4898,0.332,88.68020833,17.30222982,0.0738,112.02,0.3852,0.3265,0.6794,0.463,0.7151,0.9202,0.8315,0.3868,0.5478,0.0771,0.153,0.2301,0.383866782,0.149786019,0.111269614,Anthony Rizzo,3473,519203
2015,Eric Hosmer,KCR,4.878391802,2.12605042,0.23613963,0.519507186,0.244353182,0.100840336,0.3677,0.3455,0.2869,0.1798,0.4909,0.3293,89.77431743,6.05667352,0.0667,113.887,0.4061,0.3219,0.6481,0.4563,0.6806,0.8964,0.8069,0.4121,0.5697,0.0872,0.1603,0.2476,0.354536767,0.16191904,0.091454272,Eric Hosmer,3516,543333
2015,Troy Tulowitzki,- - -,2.614805985,1.107913669,0.22074468,0.409574468,0.369680851,0.129496402,0.4894,0.2899,0.2207,0.1569,0.4681,0.375,90.04356004,12.69375368,0.0532,112.125,0.4069,0.2974,0.6373,0.4522,0.6844,0.8503,0.7909,0.4556,0.5787,0.0938,0.1843,0.2781,0.334668487,0.213483146,0.071161048,Troy Tulowitzki,3531,453064
2015,René Rivera,TBR,0.683111371,0.84375,0.172897196,0.378504672,0.44859813,0.135416666,0.3973,0.3242,0.2785,0.2557,0.4749,0.2694,85.89808239,16.67196144,0.0502,109.421,0.2785,0.3824,0.7628,0.5601,0.5439,0.8038,0.7093,0.4672,0.7179,0.1626,0.1336,0.2962,0.215197167,0.269592476,0.034482758,Rene Rivera,3648,425784
2015,Rajai Davis,DET,8.131478961,1.318181818,0.2243346,0.441064638,0.33460076,0.181818181,0.3494,0.342,0.3086,0.2268,0.4907,0.2825,86.66666667,12.48261951,0.026,109.422,0.2788,0.3258,0.6637,0.4895,0.6466,0.9189,0.8254,0.4844,0.6459,0.0861,0.1715,0.2576,0.320073494,0.205405405,0.059459459,Rajai Davis,3708,434658
2015,J.J. Hardy,BAL,1.785014003,1.49074074,0.174846625,0.49386503,0.331288343,0.101851851,0.4012,0.4043,0.1945,0.1945,0.5684,0.2371,87.16363391,9.577241043,0.0152,107.314,0.307,0.2777,0.5352,0.3963,0.709,0.9229,0.842,0.4606,0.5927,0.0626,0.2415,0.3041,0.247685044,0.201372997,0.04576659,J.J. Hardy,3797,429666
2015,Chris Young,NYY,4.420165031,0.758620689,0.174089068,0.356275303,0.469635627,0.189655172,0.588,0.244,0.168,0.228,0.48,0.292,85.64958496,19.15991618,0.048,109.646,0.26,0.271,0.6717,0.4589,0.6207,0.8739,0.7944,0.4688,0.5927,0.0938,0.1678,0.2616,0.332355286,0.205056179,0.084269662,Chris Young,3882,455759
2015,Josh Reddick,OAK,4.802767949,0.94680851,0.209503239,0.384449244,0.406047516,0.090425531,0.3534,0.3556,0.2909,0.1681,0.5733,0.2586,88.44545108,14.95609799,0.047,108.71,0.3226,0.2864,0.6374,0.433,0.733,0.9328,0.8558,0.4177,0.5584,0.0623,0.1842,0.2465,0.338290195,0.111683848,0.084192439,Josh Reddick,3892,502210
2015,Melky Cabrera,CHW,3.097837473,1.548780487,0.238615664,0.46265938,0.298724954,0.091463414,0.3689,0.3544,0.2767,0.1573,0.5714,0.2712,89.64237582,9.639359699,0.0217,110.977,0.3599,0.3396,0.6347,0.4682,0.8208,0.9224,0.8808,0.4358,0.6135,0.0556,0.189,0.2446,0.306619096,0.128843338,0.058565153,Melky Cabrera,4022,466320
2015,Dexter Fowler,CHC,6.566778514,1.1875,0.202733485,0.432801822,0.364464692,0.0625,0.4407,0.3087,0.2506,0.1655,0.5526,0.2819,87.1816092,12.16331043,0.0403,110.103,0.2998,0.2088,0.6776,0.4119,0.6366,0.868,0.8016,0.4332,0.5899,0.0816,0.1689,0.2504,0.332710365,0.223188405,0.12173913,Dexter Fowler,4062,451594
2015,Erick Aybar,LAA,4.574934837,1.992481203,0.21031746,0.52579365,0.263888888,0.052631578,0.4011,0.375,0.2239,0.1698,0.5989,0.2313,85.67500158,6.634919197,0.0075,108.093,0.1922,0.3797,0.6818,0.5128,0.7873,0.9426,0.8783,0.4406,0.6364,0.0622,0.1485,0.2107,0.280475468,0.114420062,0.039184952,Erick Aybar,4082,430947
2015,Michael Brantley,CLE,3.992097555,1.447368421,0.225,0.458333333,0.316666666,0.052631578,0.4265,0.3271,0.2464,0.1594,0.5321,0.3085,88.96610169,9.520127119,0.0352,110.067,0.3582,0.2456,0.6429,0.4272,0.844,0.963,0.9258,0.457,0.5822,0.0312,0.1875,0.2187,0.367804925,0.085570469,0.10067114,Michael Brantley,4106,488726
2015,Yunel Escobar,WSN,2.456417485,2.351851851,0.223175965,0.545064377,0.231759656,0.055555555,0.3761,0.3462,0.2778,0.1731,0.5491,0.2778,89.77400537,4.125484517,0.0256,109.546,0.3632,0.2838,0.755,0.4955,0.672,0.9215,0.8428,0.4492,0.6379,0.0779,0.1371,0.215,0.34812051,0.118443316,0.076142131,Yunel Escobar,4191,488862
2015,Ryan Zimmerman,WSN,2.828009213,1.381443298,0.166064981,0.483754512,0.350180505,0.041237113,0.3105,0.4007,0.2888,0.1444,0.4801,0.3755,91.99411908,8.088749605,0.083,111.265,0.4838,0.2786,0.5897,0.412,0.6463,0.9003,0.8022,0.4288,0.6077,0.0815,0.2167,0.2982,0.328681452,0.202564102,0.084615384,Ryan Zimmerman,4220,475582
